 Tax year/D'année d'imposition             , Grand total Source of Income /Total global #,Employment/Emploi # ,Fishing and Farming/ Pêche et Agriculture #,Professional income/Professions libérales #,Sales (self-employed)/Ventes (travail indép.) #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Investment/Placement #,Pension/Pension #,Benefit/Bénéficiaire #,Others/Autre #,Province, Grand total males/Total global hommes #,Grand total females/Total global femmes #,Grand total Male & Female/Total global total #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over total/Groupe d'âge : 75 et plus total #, Grand total Income class/Total global # ,4999 and under/Moins de 4 999 #,5000 - 9999 #,10000 - 14999 #,15000 - 19999 #,20000 - 24999 #,25000 - 29999 #,30000 - 34999 #,35000 - 39999 #,40000 - 44999 #,45000 - 49999 #,50000 - 54999 #,55000 - 59999 #,60000 - 69999 #,70000 - 79999 #,80000 - 89999 #,90000 - 99999 #,100000 - 149999 #,150000 - 249999 #,250000 and over/et plus #
2014,113820,64160,2920,340,190,3600,3400,26460,8910,3840,PE,54370,59410,113820,2800,2700,5510,4230,4300,8540,3720,3990,7720,3560,3970,7530,3750,4230,7980,4220,4540,8770,4650,4780,9440,5310,5770,11090,5160,5540,10710,4870,5060,9930,4530,4670,9200,2900,3230,6130,4680,6630,11310,113820,8200,7450,9170,12210,10180,9130,8440,7630,6870,5910,4860,3980,5850,4350,2890,1770,3420,1120,400
2014,6499800,3549070,22140,52660,19870,249200,254160,1450930,590280,311500,QC,3157690,3340360,6499800,134020,134410,268520,242320,242250,485080,233970,238850,473200,257230,263300,520800,264710,267830,532710,246770,245890,492780,263530,263110,526700,309550,311120,620710,301100,306750,607880,261570,270490,532090,225540,238330,463890,164710,181720,346450,252660,376310,629000,6499800,531760,468760,601110,689920,509180,423350,416840,403770,384420,312780,264880,225160,346050,270030,173060,118140,235950,82090,42540
2014,838550,468980,34590,2730,2120,32740,45840,141190,63100,47270,SK,413250,425080,838550,19290,18990,38290,37400,36280,73760,41010,39560,80600,38390,38020,76430,34230,34220,68470,31440,31440,62900,31420,31260,62680,37040,37290,74330,36370,36140,72510,30940,30620,61560,24410,24800,49220,17410,18510,35920,33910,47970,81890,838550,84890,43640,55430,72340,56710,48090,46300,44670,46320,40610,35080,30710,51060,41870,33610,24400,56380,19320,7120
2014,27610,18640,30,140,20,1540,930,3400,2130,770,YT,13730,13880,27610,540,540,1080,1080,1020,2100,1250,1370,2620,1350,1430,2780,1170,1280,2450,1130,1270,2400,1120,1160,2280,1370,1500,2870,1390,1370,2760,1200,1090,2290,930,800,1730,600,440,1040,600,620,1220,27610,1600,1250,1620,2050,1850,1550,1420,1390,1370,1200,1150,1190,2260,1960,1570,1120,2310,620,140
2011,2785840,1845210,44590,11530,8630,107760,163590,347270,186250,71010,AB,1387470,1397290,2785840,66030,62910,129030,126380,123760,250370,145150,142950,288290,137230,136220,273620,128430,125080,253660,124610,121670,246370,130480,129110,259620,133120,130040,263180,115760,111220,227000,88910,88150,177080,64140,65480,129620,45790,49550,95340,81450,111180,192650,2785840,258170,155700,204390,203960,195440,158680,147010,142300,138860,122450,111100,98170,170370,135650,112370,90640,204170,92470,43930
2011,3485020,1964270,12430,23590,18580,201390,234840,639400,278310,112210,BC,1677970,1799750,3485020,64590,63720,129520,133380,134610,271990,140930,146940,288620,131400,141380,273060,127420,140190,267910,142070,154430,296830,159030,168030,327240,162650,171390,334130,152170,159080,311300,137960,142360,280370,106460,109300,215780,78140,82350,160510,141770,185960,327760,3485020,407080,245800,366780,318820,254910,210110,199710,190010,180020,149420,129090,111400,184950,140200,106730,70110,143430,51060,25390
2011,925460,562450,22050,4250,2640,37190,27080,176760,70030,23010,MB,448690,475340,925460,22360,22450,45010,41590,41260,83710,39630,39560,79380,37320,38510,75890,36780,37460,74290,37100,38070,75190,41660,42450,84120,42790,42800,85600,38100,38860,76960,32680,34030,66710,25180,26360,51530,18320,20270,38590,35190,53280,88470,925460,112450,69340,74950,87880,69990,63530,63050,56790,53990,42530,36120,29810,47940,36440,23880,15030,28250,8940,4560
2011,603070,344640,2620,2120,1110,17990,11720,142670,65980,14230,NB,292670,310170,603070,12660,12900,25570,22360,21820,44230,20590,21230,41880,20720,22110,42880,22580,23980,46570,24250,25110,49370,28620,29210,57840,29450,29890,59340,28140,28490,56630,26120,26250,52380,19930,20010,39950,14290,15010,29300,22970,34170,57140,603070,48990,52540,57880,70150,54470,47520,43280,39710,33410,25160,20730,17430,27530,21120,13100,8290,15130,4680,1950
2011,421320,228370,7450,1420,950,7340,5490,97370,62530,10400,NL,205030,216180,421320,8330,8180,16510,14750,14950,29740,14030,14790,28840,14090,15220,29330,15790,16730,32530,18050,18850,36910,20160,20660,40830,20690,20980,41680,20520,20810,41330,19080,19270,38340,14800,15140,29940,9950,10300,20250,14780,20320,35100,421320,33470,31600,47820,51840,36810,30910,27220,24180,20710,16850,13780,11420,18540,14970,11930,7660,14910,4820,1900
2011,118070,69040,320,1880,100,4450,17210,20470,490,4100,NR,66790,28130,118070,320,300,710,2850,1630,4780,6780,2630,10200,8630,2590,12420,8890,2150,12720,8100,2000,12530,6520,1760,11120,4720,1540,9290,3510,1520,7990,3370,2190,8140,4180,2840,9040,3430,2440,7290,5510,4550,11840,118070,44020,16100,15120,12540,8170,3900,2350,1790,1380,1170,980,780,1340,1130,900,740,2510,1670,1490
