 Tax year/D'année d'imposition             , Grand total Source of Income /Total global #,Employment/Emploi # ,Fishing and Farming/ Pêche et Agriculture #,Professional income/Professions libérales #,Sales (self-employed)/Ventes (travail indép.) #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Investment/Placement #,Pension/Pension #,Benefit/Bénéficiaire #,Others/Autre #,Province, Grand total males/Total global hommes #,Grand total females/Total global femmes #,Grand total Male & Female/Total global total #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over total/Groupe d'âge : 75 et plus total #, Grand total Income class/Total global # ,4999 and under/Moins de 4 999 #,5000 - 9999 #,10000 - 14999 #,15000 - 19999 #,20000 - 24999 #,25000 - 29999 #,30000 - 34999 #,35000 - 39999 #,40000 - 44999 #,45000 - 49999 #,50000 - 54999 #,55000 - 59999 #,60000 - 69999 #,70000 - 79999 #,80000 - 89999 #,90000 - 99999 #,100000 - 149999 #,150000 - 249999 #,250000 and over/et plus #
2012,937300,572120,21650,4130,2860,37080,28630,179420,70000,21410,MB,455040,480640,937300,22340,22100,44680,42360,41830,85180,40690,40460,81350,38350,39220,77630,37040,37940,75030,37680,38460,76160,40310,40890,81220,42880,43270,86160,39070,39740,78810,32960,34450,67410,26820,28100,54920,18990,21010,40000,35580,53170,88750,937300,113450,67280,72000,86330,70500,62880,63130,57240,55010,43790,37230,31500,50590,37110,26610,16150,31400,10180,4940
2012,603170,343180,2570,2050,1180,17740,12240,145910,64870,13440,NB,292410,310510,603170,12040,12140,24200,21820,21690,43570,20270,20760,41090,20570,21870,42480,22110,23690,45830,24010,24770,48800,27390,28030,55420,29260,29810,59080,28670,28940,57610,26150,26710,52870,21490,21840,43330,15060,15720,30780,23590,34530,58120,603170,49000,50530,51070,70340,54900,46820,43400,39500,34350,27000,21440,18110,28720,21740,13670,8490,16710,5370,2020
2012,424260,232600,6620,1410,950,7430,5940,99550,60330,9420,NL,206710,217420,424260,8340,8110,16450,14780,14730,29540,14110,14830,28960,14190,15230,29430,15520,16490,32030,17810,18480,36300,19820,20420,40250,20680,20830,41510,20540,20910,41460,19470,19770,39240,15830,16160,31990,10440,10820,21260,15190,20650,35840,424260,32430,29290,43030,53490,36090,30360,27020,24710,21400,17530,14100,12020,18930,15460,12730,8600,18720,6240,2150
2012,131960,75890,320,1990,100,4670,22550,21630,510,4300,NR,71990,29940,131960,370,290,750,3130,1710,5220,7240,2840,10940,9200,2720,13220,9580,2320,13740,8850,2110,13720,6870,1760,12180,5260,1660,10780,3820,1620,9200,3510,2170,9110,4530,3170,10450,3720,2660,8780,5920,4910,13890,131960,50830,16320,15700,13200,9700,4730,2690,2040,1670,1350,1110,960,1590,1360,1030,860,2980,1960,1860
2012,736080,409540,5280,3240,1930,22780,24490,184680,64090,20050,NS,351520,383510,736080,13950,14500,28520,27920,28210,56610,24970,26170,51450,23880,26710,50670,24990,27490,52500,28030,30150,58200,32710,34610,67320,35780,37360,73140,34230,35460,69690,30920,32030,62950,26320,27830,54160,18450,19920,38380,29400,43080,72490,736080,65280,62110,57890,78880,62770,53210,51590,45750,40220,32720,28140,23730,38910,29210,19200,12000,23400,7990,3090
2012,31160,23680,20,130,10,820,440,2110,3300,650,NT,15920,15240,31160,950,940,1890,1700,1670,3370,1800,1780,3580,1710,1760,3470,1460,1490,2950,1590,1460,3050,1560,1470,3040,1560,1480,3040,1250,1160,2410,950,780,1730,640,470,1110,300,320,620,440,470,900,31160,3790,2220,2140,1940,1610,1240,1170,1100,990,930,910,910,1770,1610,1640,1470,4410,1060,250
2012,20240,14270,50,40,,220,110,890,4340,320,NU,10150,10090,20240,730,850,1580,1380,1390,2780,1280,1450,2730,1210,1230,2440,1060,1010,2060,1030,1000,2030,970,890,1860,800,700,1500,600,550,1150,490,430,920,280,260,550,170,170,330,150,170,310,20240,3180,2280,1660,1560,1170,940,740,650,530,490,410,360,710,760,830,790,2430,700,80
2012,10066110,5889840,41770,79570,52420,522650,424160,1861920,891470,302290,ON,4815680,5232260,10066110,206950,207990,417360,411030,408740,826790,395020,414330,811880,376880,416630,795190,382070,422390,805680,418960,450710,870560,467940,490480,959100,477970,494560,972990,418620,438560,857520,357870,381730,739880,299840,321210,621250,217190,241730,459090,385330,543200,928820,10066110,1121680,737820,909620,919760,709610,564400,547110,533990,512740,446480,386330,337510,555260,427900,333660,271720,480580,177550,92380
2012,112250,64120,2840,340,190,3640,3040,25150,10950,1990,PE,53640,58580,112250,2860,2750,5610,4360,4420,8790,3620,3910,7540,3530,3970,7510,3780,4180,7970,4330,4670,9000,4900,5280,10180,5290,5580,10880,5040,5380,10430,4740,4970,9720,4050,4120,8170,2680,2880,5560,4450,6470,10920,112250,8140,7810,9440,12820,10540,9420,8690,7750,6950,5550,4570,3640,5630,3820,2200,1350,2680,890,370
2012,6392340,3665430,23220,55920,20850,245660,236560,1383450,599840,161410,QC,3102300,3287030,6392340,141870,141050,283230,238780,239020,478950,232340,237120,470110,260220,266090,526660,252720,255450,508370,248350,246810,495280,286160,286650,572890,310420,314340,624790,289450,294650,584120,249320,258190,507530,209270,221690,430980,147490,164510,312020,235910,361480,597420,6392340,537830,494400,612080,709930,513410,432570,429230,408440,364910,297690,254330,211530,325220,240280,149940,102480,199750,70900,37420
2012,813860,476910,37010,2880,2220,33050,39090,139420,61420,21880,SK,399870,413630,813860,19500,19040,38570,38010,36710,74880,38980,37800,76840,35020,35100,70150,31540,31970,63540,30340,30560,60920,33240,33630,66880,37120,37250,74370,35310,34880,70190,28530,28160,56700,22280,22520,44800,16420,17840,34270,33590,48170,81770,813860,84040,47140,60610,74790,57120,49690,47610,45380,46150,37590,32290,28640,47370,37050,28990,20860,47530,15240,5770
2012,26910,18810,20,180,30,1600,810,2960,2090,410,YT,13480,13430,26910,610,610,1220,1160,1040,2200,1230,1400,2630,1270,1250,2520,1120,1260,2390,1090,1200,2290,1210,1290,2500,1440,1460,2900,1380,1320,2690,1110,1000,2110,880,670,1540,450,360,800,540,570,1110,26910,1570,1330,1690,2100,1790,1560,1420,1490,1320,1250,1150,1170,2230,1800,1500,1100,1800,510,130
2013,2987290,1999930,44460,11350,9320,108560,188990,365080,192790,66810,AB,1496640,1489660,2987290,68830,64520,133400,136000,130020,266230,157360,152410,309940,157950,154340,312470,141290,136570,278020,134060,128350,262480,128920,125310,254280,138000,135670,273690,126330,121390,247740,96850,95190,192060,73910,75740,149660,50780,54040,104830,86370,116100,202480,2987290,271880,153490,175850,213830,201360,165710,149300,144010,143440,129050,118460,106420,186490,154480,124960,108370,258970,125000,56210
2013,3585970,2032900,11610,23810,19050,200670,251760,674560,273640,97970,BC,1730640,1850640,3585970,65150,63560,129360,136080,135140,273660,144030,148000,292590,140470,149440,290160,129610,140430,270250,139500,151890,291630,149340,159530,309010,166640,175190,341900,158180,167740,325960,142780,148940,291750,121460,125870,247360,86940,90930,177890,150450,193990,344470,3585970,397700,229800,340510,326690,265840,213350,200190,193110,183670,157320,135570,118690,197970,153890,118900,84470,175200,63880,29210
2013,951080,580480,21380,4150,2940,37340,30170,182310,70200,22120,MB,462550,487190,951080,22190,21880,44240,43360,42410,86600,41570,41220,82960,39660,40170,79870,37580,38710,76330,37640,38570,76230,39160,39660,78840,43600,43960,87560,39890,40370,80270,33750,35360,69110,28190,29680,57870,19810,21870,41680,36160,53350,89510,951080,116310,63860,72640,83820,70500,62070,63130,57750,55090,44150,37810,32000,52450,38990,29370,18460,35560,11460,5670
2013,604080,341860,2570,1980,1100,17780,12870,150540,61410,13980,NB,292800,311110,604080,11650,11730,23390,21380,21210,42630,20040,20280,40350,20510,21750,42300,21630,23250,44900,23840,24690,48540,26130,26980,53120,29290,29990,59290,28830,29210,58040,26450,27180,53630,22870,23340,46210,15760,16380,32140,24410,35120,59530,604080,49420,48660,50760,68440,53540,46010,42360,39090,35000,26810,21800,18170,29290,22750,14630,9610,19140,6320,2270
2013,427530,235760,6410,1430,960,7450,6410,102750,56950,9420,NL,208480,218970,427530,8160,7960,16130,14640,14570,29220,14180,14630,28840,14400,15350,29760,15430,16260,31710,17480,18230,35710,19450,20100,39550,20830,20830,41670,20630,21140,41770,19830,20180,40020,16700,17140,33830,11040,11450,22500,15710,21130,36840,427530,32820,28960,42090,51860,34740,29620,26670,23240,22150,17420,14770,12450,19500,15800,13440,9370,22150,7880,2610
2013,143900,83800,340,2130,100,6090,20340,26270,460,4370,NR,79800,33490,143900,360,330,770,3320,1780,5510,7820,3020,11860,9940,2920,14280,10320,2520,14970,9530,2170,14720,7450,1900,13190,5740,1780,11680,4210,1660,9840,3620,2260,9270,5070,3630,11310,4640,3290,9950,7790,6230,16570,143900,48740,20920,18030,15380,11090,5430,3290,2340,1820,1540,1300,1080,1750,1480,1140,960,3290,2220,2120
2013,739220,410580,5060,3190,1840,22580,25650,188270,61380,20660,NS,353010,385280,739220,13670,13910,27640,27620,28290,56290,25240,26120,51670,23980,26680,50760,24500,27080,51620,27620,29990,57620,31010,33030,64050,36120,37590,73720,34800,36050,70850,31150,32610,63760,27800,29240,57040,19140,20880,40020,30360,43830,74200,739220,65590,60540,56940,76900,61320,51990,50110,45360,41180,32440,28210,24070,38330,30870,21500,13940,26910,9510,3520
2013,31440,23880,20,120,,850,430,2240,3230,670,NT,16070,15370,31440,920,920,1840,1660,1650,3320,1810,1810,3620,1780,1770,3550,1450,1470,2910,1550,1430,2980,1530,1440,2970,1600,1480,3080,1320,1230,2550,990,830,1820,680,500,1170,330,340,680,450,490,940,31440,3770,2100,2050,2010,1670,1260,1140,1100,1100,990,880,880,1700,1660,1530,1490,4610,1240,290
2013,20700,14470,60,40,,200,100,1000,4530,310,NU,10380,10320,20700,740,820,1560,1370,1420,2790,1340,1480,2830,1220,1310,2530,1080,1030,2110,1030,960,1990,1000,950,1950,840,750,1590,650,560,1210,470,430,900,320,270,580,170,170,340,160,180,340,20700,3350,2370,1770,1520,1160,900,730,640,560,490,430,400,700,720,840,750,2560,750,90
2013,10226230,5969030,40260,78200,52020,522410,453690,1906510,897580,306530,ON,4895500,5313030,10226230,207310,207180,416780,417530,413350,837210,401990,418880,823360,386930,424280,812960,382550,423900,807740,414740,447830,863540,454290,478640,933660,488880,506420,995800,432650,451350,884370,366230,392820,759350,316440,339560,656210,226880,252130,479190,399090,556700,956070,10226230,1140360,727870,911220,914940,720140,564310,545690,533690,515470,450010,390150,340310,565630,445490,347220,285100,528570,198430,101620
2013,112540,64960,2870,350,210,3670,3180,25860,9310,2150,PE,53840,58660,112540,2810,2650,5460,4320,4330,8660,3620,3880,7500,3500,3940,7440,3750,4230,7990,4250,4550,8810,4790,4990,9780,5290,5690,10980,5070,5440,10510,4760,4980,9740,4310,4410,8720,2850,3040,5890,4530,6550,11080,112540,8270,7540,9290,12510,10190,9330,8660,7610,7120,5580,4590,3740,5590,4060,2300,1560,3150,1040,420
2013,6445570,3678180,22660,53770,20350,247050,244380,1416560,592660,169950,QC,3129160,3313800,6445570,137990,138050,276250,241970,242140,485020,232040,237230,469820,260150,265300,525810,257930,261170,519310,246700,245510,492350,274150,274270,548490,310410,313410,623860,296240,301550,597820,254010,263050,517090,217830,230860,448710,155760,172820,328590,243990,368440,612460,6445570,535770,480990,609820,701890,508970,425140,418670,402570,375720,304880,258990,217900,334340,255850,161750,111290,222180,79210,39660
2013,828260,487750,35360,2840,2120,33180,42710,140160,62140,22000,SK,408010,419910,828260,19500,19090,38620,38040,36630,74800,40420,38720,79200,36830,36710,73570,33110,33080,66220,30880,31020,61920,32220,32380,64610,37430,37450,74880,36010,35750,71760,29720,29220,58940,23250,23680,46940,16950,18190,35140,33670,47990,81670,828260,84780,45000,57880,74050,56890,49130,47760,45390,46020,38630,33300,29370,49540,39390,31950,23130,51820,17640,6610
2013,27200,18780,20,160,30,1570,890,3150,2110,490,YT,13540,13660,27200,530,570,1100,1130,1050,2180,1230,1360,2600,1300,1340,2640,1130,1300,2430,1150,1230,2380,1150,1240,2390,1410,1470,2880,1390,1360,2750,1120,1020,2140,900,730,1640,520,390,910,570,600,1170,27200,1590,1290,1640,2100,1810,1550,1470,1410,1330,1210,1170,1120,2220,1850,1540,1040,2120,590,160
2015,3107340,1959890,44930,11940,9430,106620,203710,390530,240470,139830,AB,356830,388930,745770,13930,13960,27890,27060,27470,54530,26230,27080,53310,24470,26330,50800,24090,27040,51130,26630,28960,55590,28520,30630,59150,35340,36990,72330,35140,36820,71960,32250,34310,66560,30110,31780,61890,20990,22550,43540,32090,45030,77120,3107340,274760,158980,173930,208060,205270,173140,152850,150400,147890,137720,124310,114350,197270,164910,132030,113840,278940,131820,66880
2015,3717720,1977610,11990,24340,19860,198060,263680,713780,308630,199780,BC,91590,40830,132420,390,310,700,3410,1690,5100,7980,3000,10980,10510,3110,13620,11220,3000,14220,10810,2670,13480,8920,2610,11530,7400,2590,9990,5730,2490,8220,4620,3010,7630,5700,4440,10140,5470,4040,9510,9430,7900,17330,3717720,371830,218280,329940,323520,274620,220290,203100,203570,190700,170870,146320,128850,213780,171860,133150,98130,205700,78400,34830
2015,972540,543440,21080,4080,3120,36150,31840,188400,83760,60680,MB,296080,314030,610120,11700,11760,23460,21310,20610,41920,20090,19960,40050,20200,21430,41630,21280,22720,44000,23160,24510,47670,24410,25030,49440,29050,29860,58910,29200,29790,58990,27250,28490,55740,25100,25870,50970,17230,17760,34990,26100,36250,62350,972540,112340,60200,72680,79910,70110,61920,60410,59230,56190,48510,40680,34980,56880,42830,32750,21460,41770,13080,6610
2015,610120,328150,2690,1880,990,16860,13300,158380,63820,24060,NB,10820,10800,21620,730,840,1570,1370,1460,2830,1490,1540,3030,1280,1350,2630,1120,1110,2230,980,960,1940,1020,970,1990,910,800,1710,740,650,1390,500,440,940,350,310,660,180,170,350,160,210,370,610120,45730,45950,47780,66350,52750,46360,41860,40600,36160,29270,23480,19920,31640,25030,16820,10480,20870,6770,2290
2015,432920,226970,6590,1400,950,7140,6730,108740,58940,15450,NL,16520,15710,32230,870,880,1750,1690,1580,3270,1900,1860,3760,1820,1790,3610,1560,1630,3190,1440,1390,2830,1490,1370,2860,1620,1530,3150,1420,1260,2680,1070,950,2020,740,580,1320,430,370,800,470,530,1000,432920,31510,27050,39660,50280,34160,29150,26340,23440,22440,18360,14910,13350,21450,16690,14500,11670,25300,9460,3200
2015,132420,66630,330,1780,100,4300,10740,25490,350,22700,NR,1795970,1921750,3717720,66930,66130,133060,140870,138890,279760,150380,154420,304800,150740,158380,309120,136900,146580,283480,135490,147790,283280,146580,158640,305220,164210,173800,338010,162250,173360,335610,149850,158890,308740,135630,141510,277140,95040,99730,194770,161120,203640,364760,132420,45110,16580,15770,14500,11790,5910,3320,2240,1680,1310,1090,950,1570,1290,1110,940,2880,2080,2310
2015,745770,392250,5200,3050,1740,21460,26650,196380,64500,34550,NS,3168190,3352060,6520250,125140,126280,251420,237660,237710,475370,237850,242860,480710,252420,258850,511270,267420,272210,539630,248190,247900,496090,255830,254810,510640,303630,304520,608150,304570,310120,614690,267890,277050,544940,232090,244950,477040,173280,190290,363570,262220,384510,646730,745770,61930,56790,55260,72470,64310,49910,47660,46420,42810,34990,29440,25620,40760,32720,25110,15730,29710,10140,3980
2015,32230,23350,30,110,10,790,460,2420,3690,1370,NT,414870,428480,843350,18600,18710,37310,36330,35570,71900,40780,39910,80690,38980,39170,78150,35440,35120,70560,31790,31840,63630,30820,30720,61540,36010,36530,72540,36300,36150,72450,32290,31950,64240,25410,25990,51400,17760,18820,36580,34380,48020,82400,32230,3560,2230,2080,1940,1720,1300,1080,1130,1040,990,960,860,1610,1580,1550,1410,5380,1490,340
2015,21620,14300,80,40,,180,110,1100,5180,630,NU,55050,59840,114890,2800,2710,5510,4330,4260,8590,3740,4050,7790,3710,4000,7710,3740,4270,8010,4230,4430,8660,4460,4770,9230,5330,5590,10920,5110,5630,10740,5000,5200,10200,4730,4900,9630,3080,3340,6420,4810,6700,11510,21620,3080,2660,1850,1600,1210,940,800,670,520,500,430,380,700,720,830,810,2910,890,120
2015,10493290,5765330,38940,75110,52970,505090,483510,1990850,988430,593080,ON,1548640,1558700,3107340,66630,63910,130540,132160,128830,260990,159810,158240,318050,167020,165840,332860,150730,148890,299620,137930,133480,271410,128960,126120,255080,136010,135000,271010,131880,128220,260100,107630,105600,213230,82580,84420,167000,55370,58580,113950,91910,121580,213490,10493290,1063700,670140,910100,904330,744570,577890,553720,542780,532430,479480,407330,360170,606580,482370,376600,322720,611560,230010,116810
2015,114890,63970,2900,330,180,3540,3390,27310,9690,3570,PE,211330,221590,432920,8130,7860,15990,14130,13980,28110,14500,14700,29200,14770,15520,30290,15020,16100,31120,16950,17620,34570,18780,19260,38040,20560,20920,41480,20730,21170,41900,20270,20790,41060,18170,18770,36940,12400,12930,25330,16910,21980,38890,114890,7900,7180,8840,11870,10250,9290,8540,7940,7250,6090,4980,4170,6100,4650,2970,1820,3480,1080,490
2015,6520250,3530150,21530,50570,18840,247240,257740,1487530,628120,278530,QC,474070,498470,972540,21650,21020,42670,44450,42940,87390,43430,43230,86660,41650,42460,84110,38880,40110,78990,38190,38780,76970,37410,38420,75830,42610,43070,85680,41070,41400,82470,35820,37350,73170,30260,32470,62730,21380,23220,44600,37270,54030,91300,6520250,499980,452600,590760,676040,516360,424570,407170,413370,391050,322890,273300,231360,359170,282560,181670,122470,243600,85620,45710
2015,843350,464170,34250,2630,2100,31340,47110,143640,74310,43810,SK,5034930,5458370,10493290,209140,209130,418270,427100,419120,846220,421780,432240,854020,405840,438580,844420,388500,430290,818790,403210,439700,842910,431750,461610,893360,491670,511250,1002920,455390,474630,930020,387410,416590,804000,344320,373180,717500,244880,269410,514290,423960,582660,1006620,843350,82110,44220,53210,70480,57310,48680,45840,45410,46030,41870,36000,31450,52510,42120,34100,26390,58130,20030,7470
2015,28010,18630,40,160,30,1540,940,3600,2330,750,YT,13900,14110,28010,550,560,1110,1010,980,1990,1330,1390,2720,1370,1450,2820,1190,1320,2510,1110,1300,2410,1120,1150,2270,1310,1410,2720,1420,1370,2790,1270,1190,2460,950,870,1820,630,470,1100,650,670,1320,28010,1540,1320,1590,2060,1890,1590,1400,1410,1330,1230,1130,1090,2300,2030,1650,1280,2350,660,170
